DATE,CURRENT READING,CONSUMED (kWh),CURRENT READING.1,T.PHASE P.ACTIVE PT(KW),TOTAL CONSUMED,NO.OF DAYS,AVG DAILY(kwh)
1/17/2025,38534.11,1092.31,470.28,20.25,1092.31,3.0,364.10333333333
1/20/2025,39626.42,2226.84,470.28,35.21,2226.84,4.0,556.71
1/24/2025,41853.26,1615.6,470.28,48.6,1615.6,3.0,538.53333333333
1/27/2025,43468.86,2759.57,470.28,48.0,2759.57,4.0,689.8925
1/31/2025,46228.43,4184.72,470.28,44.5,4184.72,7.0,597.81714285714
2/7/2025,50413.15,2414.54,470.28,39.01,2414.54,4.0,603.635
2/11/2025,52827.69,1829.65,470.28,41.6,1829.65,3.0,609.88333333333
2/14/2025,54657.34,1577.09,470.28,45.32,1577.09,3.0,525.69666666667
2/17/2025,56234.43,2492.82,470.28,37.49,2492.82,5.0,498.564
2/22/2025,58727.25,2055.93,470.28,46.21,2055.93,3.0,685.31
